Individual,Ancestry,Percentage
EG01,Ancestry1,0.983437
WG01,Ancestry1,9.95E-07
EG02,Ancestry1,0.999894
EG03,Ancestry1,0.995013
EG04,Ancestry1,0.999999
WG02,Ancestry1,9.89E-07
EG05,Ancestry1,0.999944
WG04,Ancestry1,1.00E-06
EG06,Ancestry1,0.999999
WG05,Ancestry1,9.92E-07
EG06.1,Ancestry1,0.999999
WG06,Ancestry1,9.81E-07
WG07,Ancestry1,9.95E-07
WG08,Ancestry1,9.84E-07
WG09,Ancestry1,9.90E-07
WG10,Ancestry1,9.83E-07
WG11,Ancestry1,9.86E-07
WG12,Ancestry1,9.87E-07
EG01,Ancestry2,0.0165626
WG01,Ancestry2,0.999999
EG02,Ancestry2,0.000105709
EG03,Ancestry2,0.00498702
EG04,Ancestry2,9.99E-07
WG02,Ancestry2,0.999999
EG05,Ancestry2,5.60E-05
WG04,Ancestry2,0.999999
EG06,Ancestry2,9.49E-07
WG05,Ancestry2,0.999999
EG06.1,Ancestry2,9.49E-07
WG06,Ancestry2,0.999999
WG07,Ancestry2,0.999999
WG08,Ancestry2,0.999999
WG09,Ancestry2,0.999999
WG10,Ancestry2,0.999999
WG11,Ancestry2,0.999999
WG12,Ancestry2,0.999999
