Individual,Ancestry,Percentage
EG01,Ancestry1,0.715129
WG01,Ancestry1,0.999999
EG02,Ancestry1,0.70858
EG03,Ancestry1,0.697592
EG04,Ancestry1,0.722169
WG02,Ancestry1,0.999999
EG05,Ancestry1,0.717337
WG04,Ancestry1,0.999999
EG06,Ancestry1,9.16E-07
WG05,Ancestry1,0.999999
EG06.1,Ancestry1,9.16E-07
WG06,Ancestry1,0.999999
WG07,Ancestry1,0.999999
WG08,Ancestry1,0.999999
WG09,Ancestry1,0.999999
WG10,Ancestry1,0.999999
WG11,Ancestry1,0.999999
WG12,Ancestry1,0.999999
ABC01,Ancestry1,8.87E-07
ABC02,Ancestry1,3.77E-06
ABC03,Ancestry1,9.97E-07
ABC04,Ancestry1,9.29E-07
ABC05,Ancestry1,9.12E-07
ABC06,Ancestry1,0.0636338
GP01,Ancestry1,0.0615301
SJS01,Ancestry1,1.89E-27
OFS01,Ancestry1,6.85E-41
RF01,Ancestry1,0.000124475
EG01,Ancestry2,0.277542
WG01,Ancestry2,9.82E-07
EG02,Ancestry2,0.29142
EG03,Ancestry2,0.302263
EG04,Ancestry2,0.277831
WG02,Ancestry2,5.04E-10
EG05,Ancestry2,0.273939
WG04,Ancestry2,8.00E-07
EG06,Ancestry2,0.999999
WG05,Ancestry2,9.91E-07
EG06.1,Ancestry2,0.999999
WG06,Ancestry2,2.93E-07
WG07,Ancestry2,9.06E-07
WG08,Ancestry2,2.38E-09
WG09,Ancestry2,9.83E-07
WG10,Ancestry2,9.88E-07
WG11,Ancestry2,9.40E-07
WG12,Ancestry2,9.83E-07
ABC01,Ancestry2,1.10E-07
ABC02,Ancestry2,1.50E-25
ABC03,Ancestry2,1.84E-10
ABC04,Ancestry2,5.69E-08
ABC05,Ancestry2,7.88E-08
ABC06,Ancestry2,3.87E-10
GP01,Ancestry2,0.0250182
SJS01,Ancestry2,0.125078
OFS01,Ancestry2,0.116216
RF01,Ancestry2,0.124208
EG01,Ancestry3,0.00732849
WG01,Ancestry3,4.28E-09
EG02,Ancestry3,1.43E-75
EG03,Ancestry3,0.000144844
EG04,Ancestry3,7.98E-19
WG02,Ancestry3,9.95E-07
EG05,Ancestry3,0.0087238
WG04,Ancestry3,1.93E-07
EG06,Ancestry3,2.70E-11
WG05,Ancestry3,2.65E-11
EG06.1,Ancestry3,2.70E-11
WG06,Ancestry3,7.00E-07
WG07,Ancestry3,8.86E-08
WG08,Ancestry3,9.94E-07
WG09,Ancestry3,9.58E-10
WG10,Ancestry3,3.66E-09
WG11,Ancestry3,4.89E-08
WG12,Ancestry3,1.34E-09
ABC01,Ancestry3,0.999999
ABC02,Ancestry3,0.999996
ABC03,Ancestry3,0.999999
ABC04,Ancestry3,0.999999
ABC05,Ancestry3,0.999999
ABC06,Ancestry3,0.936366
GP01,Ancestry3,0.913452
SJS01,Ancestry3,0.874922
OFS01,Ancestry3,0.883784
RF01,Ancestry3,0.875668
