Individual,Ancestry,Percentage
EG01,Ancestry1,0.999999
WG01,Ancestry1,9.87E-07
EG02,Ancestry1,0.999999
EG03,Ancestry1,0.999999
EG04,Ancestry1,0.999999
WG02,Ancestry1,0.000329706
EG05,Ancestry1,0.999999
WG04,Ancestry1,6.12E-14
EG06,Ancestry1,7.43E-07
WG05,Ancestry1,5.85E-09
EG06.1,Ancestry1,7.43E-07
WG06,Ancestry1,8.98E-07
WG07,Ancestry1,7.33E-07
WG08,Ancestry1,6.52E-13
WG09,Ancestry1,9.89E-07
WG10,Ancestry1,6.40E-07
WG11,Ancestry1,1.19E-08
WG12,Ancestry1,9.96E-07
ABC01,Ancestry1,2.07E-07
ABC02,Ancestry1,2.08E-08
ABC03,Ancestry1,1.68E-07
ABC04,Ancestry1,7.18E-08
ABC05,Ancestry1,1.10E-08
ABC06,Ancestry1,0.000390046
GP01,Ancestry1,0.0655452
SJS01,Ancestry1,6.17E-09
OFS01,Ancestry1,1.17E-08
RF01,Ancestry1,5.35E-10
EG01,Ancestry2,2.45E-07
WG01,Ancestry2,0.999999
EG02,Ancestry2,5.71E-08
EG03,Ancestry2,5.62E-07
EG04,Ancestry2,1.36E-07
WG02,Ancestry2,0.99967
EG05,Ancestry2,3.86E-07
WG04,Ancestry2,0.999999
EG06,Ancestry2,2.50E-07
WG05,Ancestry2,0.999999
EG06.1,Ancestry2,2.50E-07
WG06,Ancestry2,0.999999
WG07,Ancestry2,0.999999
WG08,Ancestry2,0.996621
WG09,Ancestry2,0.999999
WG10,Ancestry2,0.999999
WG11,Ancestry2,0.999999
WG12,Ancestry2,0.999999
ABC01,Ancestry2,1.85E-07
ABC02,Ancestry2,4.58E-08
ABC03,Ancestry2,2.40E-07
ABC04,Ancestry2,1.46E-07
ABC05,Ancestry2,1.10E-08
ABC06,Ancestry2,7.08E-11
GP01,Ancestry2,1.05E-11
SJS01,Ancestry2,5.11E-09
OFS01,Ancestry2,4.84E-09
RF01,Ancestry2,6.85E-10
EG01,Ancestry3,7.50E-07
WG01,Ancestry3,1.23E-08
EG02,Ancestry3,9.41E-07
EG03,Ancestry3,4.35E-07
EG04,Ancestry3,8.43E-07
WG02,Ancestry3,8.55E-38
EG05,Ancestry3,5.89E-07
WG04,Ancestry3,9.99E-07
EG06,Ancestry3,0.999999
WG05,Ancestry3,9.88E-07
EG06.1,Ancestry3,0.999999
WG06,Ancestry3,8.71E-08
WG07,Ancestry3,2.64E-07
WG08,Ancestry3,0.00337867
WG09,Ancestry3,5.73E-09
WG10,Ancestry3,3.47E-07
WG11,Ancestry3,9.80E-07
WG12,Ancestry3,2.73E-09
ABC01,Ancestry3,1.31E-07
ABC02,Ancestry3,1.53E-08
ABC03,Ancestry3,1.06E-07
ABC04,Ancestry3,8.87E-08
ABC05,Ancestry3,1.22E-08
ABC06,Ancestry3,0.0385501
GP01,Ancestry3,0.00454313
SJS01,Ancestry3,5.10E-09
OFS01,Ancestry3,5.93E-09
RF01,Ancestry3,2.91E-10
EG01,Ancestry4,1.66E-16
WG01,Ancestry4,6.18E-31
EG02,Ancestry4,4.14E-23
EG03,Ancestry4,6.15E-17
EG04,Ancestry4,4.81E-16
WG02,Ancestry4,5.60E-113
EG05,Ancestry4,2.35E-16
WG04,Ancestry4,9.24E-18
EG06,Ancestry4,8.58E-14
WG05,Ancestry4,1.84E-30
EG06.1,Ancestry4,8.58E-14
WG06,Ancestry4,1.95E-11
WG07,Ancestry4,5.78E-12
WG08,Ancestry4,1.56E-52
WG09,Ancestry4,2.47E-21
WG10,Ancestry4,5.85E-16
WG11,Ancestry4,7.60E-15
WG12,Ancestry4,5.62E-18
ABC01,Ancestry4,0.999999
ABC02,Ancestry4,0.999999
ABC03,Ancestry4,0.999999
ABC04,Ancestry4,0.999999
ABC05,Ancestry4,0.999999
ABC06,Ancestry4,0.755565
GP01,Ancestry4,0.67657
SJS01,Ancestry4,9.71E-07
OFS01,Ancestry4,9.34E-07
RF01,Ancestry4,9.87E-07
EG01,Ancestry5,1.30E-16
WG01,Ancestry5,1.06E-33
EG02,Ancestry5,4.16E-22
EG03,Ancestry5,1.19E-17
EG04,Ancestry5,1.01E-16
WG02,Ancestry5,1.15E-93
EG05,Ancestry5,4.61E-17
WG04,Ancestry5,3.89E-12
EG06,Ancestry5,2.56E-14
WG05,Ancestry5,6.64E-29
EG06.1,Ancestry5,2.56E-14
WG06,Ancestry5,6.03E-13
WG07,Ancestry5,5.47E-15
WG08,Ancestry5,2.87E-63
WG09,Ancestry5,7.89E-26
WG10,Ancestry5,2.05E-13
WG11,Ancestry5,1.67E-16
WG12,Ancestry5,2.68E-18
ABC01,Ancestry5,4.59E-07
ABC02,Ancestry5,8.80E-07
ABC03,Ancestry5,4.85E-07
ABC04,Ancestry5,6.86E-07
ABC05,Ancestry5,9.07E-07
ABC06,Ancestry5,0.205495
GP01,Ancestry5,0.253342
SJS01,Ancestry5,0.999999
OFS01,Ancestry5,0.999999
RF01,Ancestry5,0.999999
