<Phenotype>
taxa	covariate	covariate	covariate
Taxa	PC1	PC2	PC3
EG01	8.769607	152.84758	-10.796695
WG01	-68.825966	-54.57299	-47.047806
EG02	23.21489	170.78227	-258.34534
EG03	25.241367	133.75317	78.046776
EG04	12.689604	154.00716	152.91798
WG02	-61.08909	-47.632942	-23.085814
EG05	23.3764	142.40198	73.84042
WG04	-58.80216	-44.506565	9.832438
EG06	307.78854	-84.14134	-2.7611725
WG05	-60.89569	-56.632313	86.03552
EG06.1	307.78854	-84.14134	-2.7611725
WG06	-69.60073	-53.198788	57.889515
WG07	-63.5032	-53.82921	-89.56426
WG08	-67.92051	-73.336876	12.6081085
WG09	-66.46577	-46.56264	-5.981713
WG10	-60.975266	-54.25306	4.046065
WG11	-66.88463	-47.339996	-47.889538
WG12	-63.90599	-53.64411	13.016666
