PC	eigenvalue	proportion of total	cumulative proportion
0	13955.66059	0.11611	0.11611
1	9432.13737	0.07847	0.19458
2	7417.28753	0.06171	0.25629
3	7294.10673	0.06069	0.31698
4	7218.30874	0.06005	0.37703
5	7119.34914	0.05923	0.43626
6	6558.54811	0.05457	0.49083
7	6574.46522	0.0547	0.54553
8	7019.75787	0.0584	0.60393
9	6681.09168	0.05559	0.65952
10	6720.04726	0.05591	0.71543
11	6742.32438	0.05609	0.77152
12	6806.15443	0.05663	0.82815
13	6884.13675	0.05727	0.88542
14	6864.15578	0.05711	0.94253
15	6907.67757	0.05747	1
16	2.7546E-20	2.2918E-25	1
17	7.8891E-21	6.5636E-26	1
